season,timestamp,charge_mode,charging_1,discharging_1,charging_10,discharging_10,charging_20,discharging_20,charging_30,discharging_30,pv,building,total,price
winter,2021-01-14 00:00:00+00:00,1,0,0,0,0,0,0,0,0,0,93.46,93.46,52.28
winter,2021-01-14 00:15:00+00:00,1,0,0,0,0,0,0,0,0,0,91.66,91.66,41.4
winter,2021-01-14 00:30:00+00:00,1,0,0,0,0,0,0,0,0,0,87.2,87.2,23.31
winter,2021-01-14 00:45:00+00:00,1,0,0,0,0,0,0,0,0,0,83.28,83.28,16.67
winter,2021-01-14 01:00:00+00:00,1,0,0,0,0,0,0,0,0,0,84.14,84.14,42.6
winter,2021-01-14 01:15:00+00:00,1,0,0,0,0,0,0,0,0,0,86.58,86.58,34.62
winter,2021-01-14 01:30:00+00:00,1,0,0,0,0,0,0,0,0,0,85.32,85.32,25.95
winter,2021-01-14 01:45:00+00:00,1,0,0,0,0,0,0,0,0,0,88.46,88.46,16.44
winter,2021-01-14 02:00:00+00:00,1,0,0,0,0,0,0,0,0,0,84.44,84.44,34.18
winter,2021-01-14 02:15:00+00:00,1,0,0,0,0,0,0,0,0,0,78.54,78.54,31.42
winter,2021-01-14 02:30:00+00:00,1,0,0,0,0,0,0,0,0,0,77.18,77.18,33.98
winter,2021-01-14 02:45:00+00:00,1,0,0,0,0,0,0,0,0,0,76.94,76.94,39.94
winter,2021-01-14 03:00:00+00:00,1,0,0,0,0,0,0,0,0,0,74.56,74.56,23.16
winter,2021-01-14 03:15:00+00:00,1,0,0,0,0,0,0,0,0,0,71.66,71.66,24.87
winter,2021-01-14 03:30:00+00:00,1,0,0,0,0,0,0,0,0,0,71.5,71.5,41.44
winter,2021-01-14 03:45:00+00:00,1,0,0,0,0,0,0,0,0,0,67.42,67.42,52.55
winter,2021-01-14 04:00:00+00:00,1,0,0,0,0,0,0,0,0,0,67.28,67.28,27.4
winter,2021-01-14 04:15:00+00:00,1,0,0,0,0,0,0,0,0,0,65.94,65.94,36.5
winter,2021-01-14 04:30:00+00:00,1,0,0,0,0,0,0,0,0,0,61.3,61.3,40.38
winter,2021-01-14 04:45:00+00:00,1,0,0,0,0,0,0,0,0,0,62.1,62.1,24.5
winter,2021-01-14 05:00:00+00:00,1,0,0,0,0,0,0,0,0,0,71.02,71.02,27.38
winter,2021-01-14 05:15:00+00:00,1,0,0,0,0,0,0,0,0,0,71.36,71.36,36.46
winter,2021-01-14 05:30:00+00:00,1,0,0,12.8197589874621,0,12.8197589874621,0,12.8197589874621,0,0,72.8,85.6197589874621,49.01
winter,2021-01-14 05:45:00+00:00,1,0,0,0,0,0,0,0,0,0,81.08,81.08,65.15
winter,2021-01-14 06:00:00+00:00,1,0,0,0,0,0,0,0,0,0,91.78,91.78,-0.08
winter,2021-01-14 06:15:00+00:00,1,0,0,100,0,100,0,100,0,0,90.12,190.12,41.59
winter,2021-01-14 06:30:00+00:00,1,0,0,100,0,100,0,100,0,0,81.86,181.86,70.96
winter,2021-01-14 06:45:00+00:00,1,0,0,27.9382832360597,0,32.5444992269953,0,32.5444992269953,0,0,90.68,123.224499226995,77.53
winter,2021-01-14 07:00:00+00:00,1,0,0,0,0,0,0,43.1559642219372,0,0,121.58,164.735964221937,46.33
winter,2021-01-14 07:15:00+00:00,1,0,0,0,0,100,0,100,0,0,130.04,230.04,75.28
winter,2021-01-14 07:30:00+00:00,1,0,0,0,0,100,0,100,0,0,133.02,233.02,75.25
winter,2021-01-14 07:45:00+00:00,1,0,0,0,0,87.0363335139139,0,187.036333513914,0,0,131.4,318.436333513914,122.74
winter,2021-01-14 08:00:00+00:00,1,0,0,0,0,0,0,100,0,0,136.04,236.04,58.14
winter,2021-01-14 08:15:00+00:00,1,0,0,0,0,0,0,100,0,0,141.58,241.58,73.95
winter,2021-01-14 08:30:00+00:00,1,0,0,100,0,100,0,200,0,0.128274091718144,143.66,343.531725908282,92.81
winter,2021-01-14 08:45:00+00:00,1,0,0,100,0,100,0,200,0,8.36062737824837,149.98,341.619372621752,109.16
winter,2021-01-14 09:00:00+00:00,1,0,0,100,0,100,0,200,0,44.363077116397,150.98,306.616922883603,61.09
winter,2021-01-14 09:15:00+00:00,1,0,0,9.57478261729107,0,9.57478261729107,0,109.574782617291,0,79.3263050831875,151.77,182.018477534104,74.32
winter,2021-01-14 09:30:00+00:00,1,0,0,0,0,0,0,0,0,106.264944554294,140.92,34.6550554457061,89.57
winter,2021-01-14 09:45:00+00:00,1,0,0,0,0,0,0,100,0,133.364252865676,142.02,108.655747134323,104.22
winter,2021-01-14 10:00:00+00:00,1,0,0,0,0,0,0,100,0,141.879881065158,151.66,109.780118934842,77.88
winter,2021-01-14 10:15:00+00:00,1,0,0,0,0,0,0,100,0,155.594152393336,149.12,93.5258476066643,86.74
winter,2021-01-14 10:30:00+00:00,1,0,0,100,0,100,0,200,0,106.191366393012,143.93,237.738633606988,75.25
winter,2021-01-14 10:45:00+00:00,1,0,0,100,0,100,0,200,0,171.872947981785,137.81,165.937052018215,100
winter,2021-01-14 11:00:00+00:00,1,0,0,100,0,300,0,400,0,241.785548494093,134.44,292.654451505907,75.26
winter,2021-01-14 11:15:00+00:00,1,100,0,118.061699918297,0,331.624749022659,0,631.624749022659,0,244.697947345617,135.92,522.846801677042,88.11
winter,2021-01-14 11:30:00+00:00,1,100,0,200,0,298.303956126974,0,398.303956126974,0,237.243915764221,133.68,294.740040362753,84.6
winter,2021-01-14 11:45:00+00:00,1,100,0,108.966259319145,0,108.966259319145,0,208.966259319145,0,225.514695917179,132.41,115.861563401965,92.3
winter,2021-01-14 12:00:00+00:00,1,100,0,100,0,100,0,300,0,220.479991869165,137.67,217.190008130835,83.51
winter,2021-01-14 12:15:00+00:00,1,100,0,100,0,100,0,300,0,236.601436821399,140.45,203.848563178601,78.59
winter,2021-01-14 12:30:00+00:00,1,100,0,200,0,300,0,600,0,260.3950384421,140.58,480.1849615579,78.98
winter,2021-01-14 12:45:00+00:00,1,100,0,200,0,300,0,500,0,267.11365792993,138.52,371.40634207007,78.64
